timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-29 00:30:00+05:30,41971.67,42025.0,41721.08,41785.92,1257.9253,2024-01-29 01:29:59.999000+05:30,52668661.8400065,50529.0,589.71783,24694416.7114124,0
2024-01-29 01:30:00+05:30,41785.91,41969.75,41681.72,41945.09,1140.40494,2024-01-29 02:29:59.999000+05:30,47699700.9465381,45284.0,641.56481,26837570.0822137,0
2024-01-29 02:30:00+05:30,41945.09,42028.0,41810.0,41979.59,626.47209,2024-01-29 03:29:59.999000+05:30,26260593.0444501,33384.0,361.0818,15138239.8830865,0
2024-01-29 03:30:00+05:30,41979.59,41979.59,41620.81,41834.0,726.07206,2024-01-29 04:29:59.999000+05:30,30357415.605636,35270.0,307.00448,12835520.474291,0
2024-01-29 04:30:00+05:30,41834.01,42073.81,41753.19,42031.06,770.03377,2024-01-29 05:29:59.999000+05:30,32287940.111874,36237.0,446.55825,18726082.9058215,0
2024-01-29 05:30:00+05:30,42031.05,42069.23,41874.94,41971.42,735.96031,2024-01-29 06:29:59.999000+05:30,30885808.8887914,34553.0,365.29628,15332890.1251652,0
2024-01-29 06:30:00+05:30,41971.43,42318.31,41967.57,42160.21,893.00449,2024-01-29 07:29:59.999000+05:30,37658855.9216303,40374.0,489.80679,20656199.1960065,0
2024-01-29 07:30:00+05:30,42160.21,42328.67,42127.96,42237.56,689.79483,2024-01-29 08:29:59.999000+05:30,29139388.121621,32307.0,378.48238,15986674.6078474,0
2024-01-29 08:30:00+05:30,42237.56,42504.0,42237.56,42331.2,1118.92636,2024-01-29 09:29:59.999000+05:30,47446430.1212515,54110.0,594.61554,25210488.0413187,0
2024-01-29 09:30:00+05:30,42331.19,42345.36,42195.61,42218.0,560.51436,2024-01-29 10:29:59.999000+05:30,23688484.3635014,28896.0,224.67987,9495144.3327316,0
2024-01-29 10:30:00+05:30,42218.0,42284.94,42131.1,42144.23,656.26092,2024-01-29 11:29:59.999000+05:30,27694168.4483657,27897.0,285.52543,12048338.9117357,0
2024-01-29 11:30:00+05:30,42144.23,42251.75,42133.0,42163.23,643.13454,2024-01-29 12:29:59.999000+05:30,27128955.5616005,24141.0,338.43789,14277290.2301641,0
2024-01-29 12:30:00+05:30,42163.24,42242.15,41988.88,42053.46,875.94242,2024-01-29 13:29:59.999000+05:30,36880238.4171897,35961.0,381.38394,16055004.8985246,0
2024-01-29 13:30:00+05:30,42053.45,42151.26,41966.02,42122.85,711.30358,2024-01-29 14:29:59.999000+05:30,29906554.059387,39182.0,336.61305,14153495.6002154,0
2024-01-29 14:30:00+05:30,42122.85,42329.93,41961.1,42295.67,946.51948,2024-01-29 15:29:59.999000+05:30,39920236.6535772,69974.0,486.71588,20535225.8280798,0
2024-01-29 15:30:00+05:30,42295.9,42381.1,42208.2,42313.18,867.1729,2024-01-29 16:29:59.999000+05:30,36678854.4585503,38612.0,393.90387,16662666.3733121,0
2024-01-29 16:30:00+05:30,42313.18,42353.27,42191.1,42246.95,679.92992,2024-01-29 17:29:59.999000+05:30,28743815.9240731,27121.0,312.96452,13229967.1075674,0
2024-01-29 17:30:00+05:30,42246.95,42371.1,41975.0,42102.66,1381.93262,2024-01-29 18:29:59.999000+05:30,58258352.1603424,48343.0,521.69394,21994603.2612113,0
2024-01-29 18:30:00+05:30,42102.67,42139.21,41930.88,42006.7,1287.44408,2024-01-29 19:29:59.999000+05:30,54113290.3186167,51651.0,637.9471,26813359.2588848,0
2024-01-29 19:30:00+05:30,42006.71,42104.98,41804.88,41951.86,1502.31136,2024-01-29 20:29:59.999000+05:30,63018031.5801344,54126.0,747.6841,31364154.2390413,0
2024-01-29 20:30:00+05:30,41951.86,42647.27,41882.33,42641.75,2591.39618,2024-01-29 21:29:59.999000+05:30,109461570.7890783,97964.0,1505.39358,63574632.23273,0
2024-01-29 21:30:00+05:30,42641.75,43313.8,42518.0,43200.0,5705.29111,2024-01-29 22:29:59.999000+05:30,244972937.2556668,164134.0,3120.87739,134009584.0857825,0
2024-01-29 22:30:00+05:30,43200.01,43308.69,42920.01,42996.57,2648.14943,2024-01-29 23:29:59.999000+05:30,114100083.3795266,82858.0,1248.84239,53812157.4919873,0
2024-01-29 23:30:00+05:30,42996.56,43118.1,42883.72,43028.75,1544.40022,2024-01-30 00:29:59.999000+05:30,66411791.1708573,52384.0,799.49185,34380197.6611999,0
2024-01-30 00:30:00+05:30,43028.74,43152.47,42978.29,42995.99,1416.98804,2024-01-30 01:29:59.999000+05:30,61033238.3183852,47011.0,727.55997,31339795.5549482,0
2024-01-30 01:30:00+05:30,42995.99,43199.99,42982.66,43147.6,1242.65529,2024-01-30 02:29:59.999000+05:30,53547390.2653563,41415.0,615.47316,26522087.4859443,0
2024-01-30 02:30:00+05:30,43147.61,43263.15,43061.66,43176.29,1186.41986,2024-01-30 03:29:59.999000+05:30,51212986.0481132,40921.0,634.15306,27372038.1572573,0
2024-01-30 03:30:00+05:30,43176.29,43210.31,43081.1,43111.1,685.97624,2024-01-30 04:29:59.999000+05:30,29597626.7472348,28869.0,313.40284,13522727.7082467,0
2024-01-30 04:30:00+05:30,43111.11,43333.0,43078.11,43302.7,971.31353,2024-01-30 05:29:59.999000+05:30,41963191.3890173,35052.0,535.94145,23155998.9686105,0
2024-01-30 05:30:00+05:30,43302.71,43310.97,43133.9,43162.02,944.79046,2024-01-30 06:29:59.999000+05:30,40832191.8216912,31154.0,418.20955,18075230.7853894,0
2024-01-30 06:30:00+05:30,43162.02,43559.0,43157.15,43439.51,2487.03277,2024-01-30 07:29:59.999000+05:30,107990286.4209129,72014.0,1435.74457,62336371.8397444,0
2024-01-30 07:30:00+05:30,43439.51,43787.35,43439.51,43615.15,1837.02834,2024-01-30 08:29:59.999000+05:30,80128678.9114302,65604.0,1082.71613,47222621.2566841,0
2024-01-30 08:30:00+05:30,43615.15,43685.2,43460.02,43519.71,1493.36525,2024-01-30 09:29:59.999000+05:30,65027689.5343661,52856.0,754.85064,32868321.0318373,0
2024-01-30 09:30:00+05:30,43519.71,43570.09,43412.0,43421.49,817.52946,2024-01-30 10:29:59.999000+05:30,35554030.1416628,27614.0,345.95012,15048256.2311909,0
2024-01-30 10:30:00+05:30,43421.5,43465.22,43342.0,43365.04,650.69606,2024-01-30 11:29:59.999000+05:30,28244958.4218525,24650.0,275.98006,11980113.965805,0
2024-01-30 11:30:00+05:30,43365.03,43422.71,43259.26,43340.68,792.67818,2024-01-30 12:29:59.999000+05:30,34357248.5942995,29242.0,381.28506,16526745.0282673,0
2024-01-30 12:30:00+05:30,43340.68,43446.11,43323.82,43358.25,1091.75741,2024-01-30 13:29:59.999000+05:30,47366337.9899901,34953.0,474.22187,20573903.7099152,0
2024-01-30 13:30:00+05:30,43358.24,43467.03,43215.76,43432.1,1235.47793,2024-01-30 14:29:59.999000+05:30,53597587.9190335,46359.0,559.00297,24248725.6533817,0
